Day,T,TM,Tm,H,PP,VV,V,VM,RA,SN,TS,FG,month,year,RA_tomor
16,18.3,23.2,16.0,57.0,0.0,10.0,17.8,29.4,1,0,0,0,5,2015,1
11,20.2,26.0,16.7,67.0,0.0,9.5,9.8,31.7,1,0,0,0,10,2020,1
1,27.4,33.0,21.0,62.0,0.0,9.0,9.6,20.6,0,0,0,0,7,2008,0
17,17.9,24.9,13.7,67.0,0.0,10.0,5.7,13.0,0,0,0,0,11,2014,0
26,27.3,35.0,20.3,45.0,0.0,11.3,14.6,31.3,0,0,0,0,6,2009,0
30,26.0,31.3,22.0,45.0,0.0,10.9,22.4,31.3,0,0,0,0,8,2010,0
21,25.9,31.3,21.0,60.0,0.0,10.0,13.7,25.9,0,0,0,0,8,2015,0
29,21.9,26.2,17.7,64.0,0.51,10.0,11.7,24.1,0,0,0,0,5,2021,0
19,26.2,32.3,22.4,69.0,0.0,10.0,8.3,18.3,0,0,1,0,9,2018,1
10,20.9,27.3,17.0,66.0,0.0,10.0,9.6,18.3,0,0,0,0,10,2017,0
1,13.4,16.1,9.9,73.0,3.56,9.7,18.1,33.5,1,0,1,0,2,2021,0
18,11.3,15.4,8.0,78.0,4.57,9.3,15.9,31.3,1,0,0,0,1,2013,1
3,17.8,24.2,13.3,61.0,0.0,9.8,11.5,18.3,1,0,1,0,4,2019,1
22,18.4,23.0,16.0,75.0,0.0,9.2,21.9,31.3,1,0,0,0,4,2011,1
6,23.2,29.7,19.9,64.0,0.0,9.7,10.7,27.8,0,0,0,0,6,2019,0
15,18.1,21.5,15.0,74.0,0.0,10.1,12.8,18.3,1,0,1,0,10,2009,1
31,10.2,15.0,6.8,66.0,4.06,9.7,9.4,22.2,1,0,0,0,12,2019,0
24,27.3,32.3,21.0,59.0,0.0,10.0,9.8,22.2,0,0,0,0,8,2017,0
27,19.7,26.5,13.8,60.0,0.0,9.8,14.1,25.9,0,0,0,0,10,2017,1
12,23.4,28.1,19.3,47.0,0.25,9.8,13.9,31.7,0,0,1,0,5,2017,0
18,15.1,21.0,9.7,64.0,0.0,10.0,8.7,18.3,0,0,0,0,1,2014,0
25,21.6,25.0,19.0,77.0,0.76,9.7,11.5,18.3,1,0,0,0,9,2008,1
1,10.6,15.0,6.6,66.0,0.25,10.0,10.2,22.2,0,0,0,0,1,2020,0
7,8.1,13.0,5.0,77.0,5.08,8.5,23.9,37.0,1,0,0,0,2,2013,1
17,18.0,22.0,14.0,67.0,0.0,11.1,9.4,18.3,1,0,0,0,10,2011,0
24,24.7,26.0,24.0,69.0,0.0,10.0,20.0,22.2,0,0,0,0,9,2018,0
23,18.9,25.2,13.0,61.0,0.25,10.0,11.9,24.1,0,0,0,0,4,2016,0
4,26.6,32.1,20.0,51.0,0.0,10.0,10.0,25.9,0,0,0,0,9,2017,0
3,26.7,32.7,21.0,58.0,0.0,10.9,10.0,24.1,0,0,0,0,7,2010,0
22,15.8,21.8,11.4,79.0,0.0,10.1,5.6,11.1,0,0,0,0,11,2012,0
11,34.3,43.0,28.0,34.0,0.0,9.8,6.7,20.6,0,0,0,0,8,2021,0
6,29.6,38.0,20.9,46.0,0.0,10.0,10.2,25.9,0,0,0,0,8,2013,0
27,10.7,14.0,8.4,78.0,6.35,9.2,18.3,33.5,1,0,0,0,1,2015,1
5,20.8,25.2,18.0,79.0,2.03,8.5,8.3,18.3,1,0,1,0,6,2016,0
21,30.6,38.2,24.4,49.0,0.0,10.5,12.6,27.8,0,0,0,0,7,2012,0
11,28.4,34.5,21.7,49.0,0.0,9.5,10.0,22.2,0,0,0,0,7,2010,0
7,20.7,30.0,12.0,45.0,0.0,10.5,9.4,16.5,1,0,0,0,4,2008,1
2,14.7,17.1,11.0,77.0,5.08,9.2,17.4,29.4,1,0,0,0,12,2018,0
9,26.8,32.8,21.8,61.0,0.0,9.8,12.4,25.9,0,0,0,0,7,2018,0
25,19.3,26.0,15.0,62.0,0.0,10.0,8.9,16.5,0,0,0,0,10,2020,0
2,12.4,20.0,6.6,74.0,0.0,8.2,8.5,14.8,0,0,0,0,2,2008,0
18,11.4,18.0,5.9,75.0,0.0,8.5,1.5,9.4,0,0,0,0,12,2013,0
2,27.5,32.7,21.3,62.0,0.0,10.5,13.0,22.2,0,0,0,0,8,2010,0
19,23.4,27.0,21.0,60.0,0.51,9.2,18.5,37.0,0,0,0,0,9,2016,0
19,11.9,16.5,9.0,69.0,1.27,9.5,14.6,25.9,0,0,0,0,2,2018,1
3,16.9,21.1,14.0,74.0,0.25,9.8,11.1,18.3,1,0,0,0,12,2014,0
20,24.1,29.5,21.6,76.0,0.0,9.8,8.0,27.8,1,0,1,0,9,2018,1
31,29.7,35.8,22.8,57.0,0.0,9.3,12.0,20.6,0,0,0,0,7,2008,0
19,25.3,30.3,21.8,79.0,0.0,10.1,14.1,22.2,0,0,0,0,10,2012,0
28,22.8,28.3,18.9,73.0,0.0,9.7,9.4,24.1,0,0,0,0,5,2016,0
2,24.5,28.2,19.0,51.0,0.0,10.0,9.1,20.6,1,0,0,0,6,2017,0
13,26.3,34.4,17.9,42.0,0.0,10.1,10.7,25.9,0,0,0,0,6,2009,0
11,23.9,28.5,20.0,61.0,0.0,10.0,10.0,20.6,0,0,1,0,9,2020,0
8,14.9,19.1,11.0,76.0,0.0,10.0,8.9,16.5,0,0,0,0,1,2013,0
29,13.4,16.4,10.8,79.0,0.0,9.0,9.6,25.9,1,0,0,0,12,2013,0
28,18.6,22.0,14.0,52.0,0.0,9.0,25.6,38.9,1,0,1,0,11,2020,1
3,17.1,22.6,13.8,78.0,1.02,9.0,9.8,22.2,0,0,0,0,4,2016,0
6,23.1,31.7,18.0,58.0,0.0,11.3,11.1,29.4,0,0,0,0,6,2008,0
20,29.0,33.4,24.3,63.0,0.0,10.0,16.7,29.4,0,0,0,0,7,2017,0
1,30.6,37.0,24.9,35.0,0.0,11.3,15.4,25.9,0,0,0,0,7,2012,0
16,26.7,34.0,18.8,45.0,0.0,10.0,12.2,24.1,0,0,0,0,6,2021,0
11,23.4,27.2,20.5,78.0,0.0,9.0,13.0,22.2,0,0,0,0,10,2008,0
16,15.4,20.5,9.7,77.0,0.0,10.0,10.2,22.2,0,0,0,0,3,2018,0
19,27.3,32.4,23.6,49.0,0.0,10.0,20.2,33.5,0,0,0,0,7,2021,0
5,27.2,32.4,24.0,66.0,0.0,10.0,16.5,33.5,0,0,0,0,9,2021,0
22,16.3,21.0,14.0,74.0,2.03,9.7,9.6,22.2,1,0,0,0,4,2020,1
5,28.0,34.0,22.0,69.0,0.0,9.2,9.4,20.6,0,0,0,0,8,2008,0
25,18.2,22.5,15.9,65.0,0.0,10.0,13.9,22.2,1,0,1,0,10,2019,0
6,22.0,27.0,17.7,67.0,4.32,9.7,19.6,35.2,0,0,0,0,10,2017,1
6,21.1,23.8,17.8,81.0,0.0,10.9,7.8,18.3,0,0,0,0,11,2012,1
23,20.6,28.0,15.9,64.0,0.0,9.5,11.5,22.2,0,0,0,0,5,2018,0
9,28.8,33.5,23.5,63.0,0.25,9.8,10.7,18.3,0,0,0,0,8,2018,0
23,11.2,13.7,9.8,85.0,2.29,7.9,15.9,27.8,1,0,0,0,2,2009,1
27,10.3,15.0,6.6,72.0,0.0,10.1,16.7,25.9,0,0,0,0,12,2010,0
25,26.6,33.0,20.0,56.0,0.0,9.2,10.0,22.2,0,0,0,0,6,2019,0
1,27.7,35.0,20.5,54.0,0.0,11.1,11.9,25.9,0,0,0,0,7,2009,0
2,27.5,32.3,23.9,63.0,0.0,10.0,14.6,24.1,0,0,0,0,8,2021,0
4,19.6,26.3,15.0,63.0,0.0,10.6,18.3,31.3,1,0,0,0,4,2010,0
23,30.1,38.3,20.8,28.0,0.25,9.8,8.5,20.6,0,0,0,0,7,2021,0
11,11.9,15.7,9.0,63.0,0.0,10.0,18.1,35.2,1,0,0,0,1,2018,1
2,16.3,22.2,12.7,68.0,0.25,10.5,10.9,22.2,0,0,0,0,4,2010,0
10,20.2,25.6,16.0,62.0,0.0,10.0,17.6,25.9,0,0,0,0,5,2018,0
11,17.4,22.0,12.5,63.0,1.02,9.3,18.9,35.2,0,0,0,0,2,2016,1
28,18.8,21.4,16.0,65.0,0.0,10.0,19.4,29.4,0,0,0,0,4,2017,0
19,28.3,35.4,21.7,65.0,0.0,9.8,8.3,22.2,0,0,0,0,8,2009,0
14,16.1,24.8,10.0,82.0,0.0,6.9,4.8,11.1,0,0,0,1,11,2009,0
21,28.6,41.0,23.0,45.0,0.0,9.3,13.5,33.5,1,0,1,0,6,2021,0
25,12.5,15.5,8.6,62.0,14.48,9.2,26.3,46.5,1,0,0,0,1,2014,1
5,26.6,31.4,22.4,38.0,0.25,10.0,22.6,35.2,0,0,0,0,8,2020,0
21,27.9,34.7,22.5,56.0,0.0,9.8,10.7,27.8,0,0,0,0,6,2012,0
23,21.9,26.0,18.0,85.0,0.0,8.9,9.8,25.9,0,0,1,0,10,2021,1
27,17.4,21.3,14.5,75.0,2.79,9.5,16.3,27.8,1,0,0,0,4,2011,0
13,13.3,15.0,11.8,81.0,0.0,8.9,14.1,24.1,1,0,0,0,3,2014,1
20,21.9,28.0,18.0,81.0,0.0,8.7,4.8,13.0,0,0,0,0,10,2014,0
13,22.6,30.1,12.8,40.0,0.0,10.5,11.5,29.4,0,0,0,0,5,2011,0
15,10.0,13.3,5.0,76.0,0.51,9.5,12.8,22.2,1,0,0,0,2,2010,1
20,16.4,21.2,13.0,56.0,0.0,10.0,14.6,27.8,0,0,0,0,11,2013,0
9,13.6,18.4,11.0,63.0,4.32,8.5,18.5,35.2,1,0,0,0,11,2019,1
11,21.1,29.6,14.9,62.0,0.0,10.0,7.6,24.1,0,0,1,0,5,2019,0
18,30.1,37.2,23.2,47.0,0.0,9.7,20.0,35.2,0,0,0,0,7,2010,0
20,19.3,24.6,15.0,48.0,0.0,10.0,13.5,24.1,0,0,0,0,5,2019,1
17,17.4,22.5,14.5,65.0,0.0,10.0,14.3,25.9,0,0,0,0,4,2018,0
11,24.1,29.4,18.3,76.0,14.73,10.0,7.6,20.6,0,0,0,0,9,2019,0
10,14.2,19.0,9.5,75.0,0.0,9.0,13.9,33.5,1,0,0,0,2,2016,0
9,12.2,17.1,8.6,81.0,3.3,8.5,7.4,22.2,1,0,1,0,3,2014,1
5,22.7,28.0,17.5,78.0,0.0,9.3,7.2,18.3,0,0,0,0,10,2009,0
24,14.8,18.4,12.0,87.0,0.51,8.7,19.4,31.7,1,0,1,0,3,2015,1
30,27.0,31.0,23.7,59.0,0.0,10.0,13.7,27.8,0,0,0,0,6,2021,0
19,16.2,20.0,13.0,72.0,4.83,7.9,23.9,38.9,1,0,1,0,10,2010,0
13,16.7,20.5,14.0,90.0,2.03,7.4,9.3,20.6,0,0,0,0,4,2010,1
18,17.8,21.1,15.6,76.0,0.0,11.1,8.0,18.3,0,0,0,0,11,2011,1
31,11.8,17.4,8.0,66.0,2.79,11.3,15.6,27.8,0,0,0,0,1,2010,1
1,19.3,20.0,18.0,83.0,8.38,8.2,16.9,22.2,1,0,0,0,11,2011,1
31,26.8,32.0,23.7,72.0,0.0,9.7,11.3,24.1,0,0,0,0,8,2016,0
2,14.4,19.1,12.0,63.0,0.0,10.0,25.6,40.7,0,0,0,0,4,2015,0
27,18.2,23.0,12.0,84.0,0.0,8.9,8.9,24.1,0,0,0,0,11,2014,0
30,21.4,27.7,16.6,55.0,0.0,10.0,9.6,22.2,1,0,1,0,10,2013,1
25,27.6,32.0,24.0,54.0,0.0,10.0,23.3,33.5,0,0,0,0,7,2017,0
19,8.8,12.0,6.4,75.0,3.05,9.2,18.1,33.5,1,1,1,0,12,2011,1
18,18.7,22.6,16.0,77.0,1.78,10.0,13.7,22.2,1,0,0,0,5,2018,0
15,17.8,25.4,12.3,62.0,0.0,10.0,8.0,25.9,0,0,0,0,3,2018,0
12,25.9,32.0,20.9,77.0,0.0,9.2,8.1,22.2,0,0,0,0,10,2014,0
3,9.2,14.0,4.5,59.0,3.3,10.0,15.7,24.1,0,0,0,0,12,2017,1
18,27.3,32.2,24.0,75.0,0.0,9.3,7.8,20.6,0,0,0,0,9,2019,0
25,24.8,31.3,17.5,50.0,0.0,10.8,6.3,18.3,0,0,0,0,6,2009,0
25,15.9,21.0,12.0,77.0,0.0,9.3,6.9,14.8,0,0,0,0,11,2009,0
10,14.7,23.0,7.5,61.0,0.25,9.7,12.6,25.9,0,0,0,0,2,2020,0
13,16.9,27.0,10.0,64.0,0.0,10.0,7.4,16.5,0,0,0,0,3,2020,0
30,26.8,31.2,22.0,74.0,0.0,8.9,13.3,40.7,1,1,1,0,8,2013,1
25,22.4,28.0,16.9,64.0,0.0,10.0,12.2,24.1,0,0,0,0,5,2018,0
29,10.8,15.0,4.7,76.0,0.0,9.7,11.1,20.6,1,0,1,0,11,2013,1
19,15.2,21.2,7.9,65.0,0.0,11.1,8.1,24.1,0,0,0,0,3,2013,1
1,16.1,23.0,10.0,77.0,3.05,8.9,7.0,16.5,0,0,0,0,4,2014,0
24,12.6,17.0,7.0,63.0,0.25,10.0,10.9,22.2,0,0,0,0,3,2021,0
10,27.4,32.0,23.0,56.0,0.0,10.0,11.7,22.2,0,0,0,0,8,2020,0
19,10.1,13.0,8.0,83.0,8.13,8.2,5.9,20.6,1,0,1,0,2,2009,1
31,11.2,17.5,4.0,84.0,0.0,8.2,6.9,20.6,0,0,0,0,1,2009,1
27,26.9,33.0,22.8,51.0,0.0,11.3,16.5,35.2,0,0,0,0,6,2009,0
9,27.0,33.0,22.0,71.0,0.0,9.8,8.0,22.2,0,0,0,0,9,2012,0
20,20.9,26.0,17.0,51.0,0.0,10.0,20.7,37.0,0,0,0,0,5,2017,0
26,18.2,23.0,15.0,64.0,0.25,10.0,6.5,13.0,0,0,1,0,10,2019,1
4,11.3,12.0,10.0,90.0,8.89,7.9,13.9,22.2,1,0,0,0,3,2011,0
8,29.1,37.1,22.0,43.0,0.0,10.0,8.1,22.2,0,0,0,0,7,2015,0
10,15.0,19.5,12.0,84.0,5.33,10.0,7.0,18.3,1,0,0,0,4,2010,0
20,9.7,12.4,7.0,71.0,1.78,10.0,16.9,37.0,1,0,0,0,12,2009,0
5,11.3,17.0,6.9,71.0,0.0,11.3,7.6,16.5,0,0,0,0,1,2011,0
22,16.1,19.4,13.3,68.0,0.0,9.5,18.3,27.8,0,0,0,0,2,2021,0
8,12.6,17.9,8.0,70.0,3.05,8.7,10.2,20.6,1,0,0,0,2,2014,0
28,28.6,34.5,22.3,45.0,0.0,10.0,13.1,25.9,0,0,0,0,7,2016,0
24,16.0,22.0,9.9,75.0,0.0,9.3,7.2,18.3,0,0,0,0,11,2021,1
17,15.9,25.3,8.7,54.0,0.0,10.0,6.3,13.0,0,0,0,0,3,2019,0
26,15.1,19.0,11.0,82.0,0.0,10.0,7.4,13.0,0,0,0,0,12,2016,0
16,27.4,32.9,23.4,65.0,0.0,11.1,12.0,22.2,0,0,0,0,8,2011,0
15,27.5,33.6,24.0,50.0,0.0,10.6,17.2,31.3,0,0,0,0,7,2011,0
25,20.6,26.3,17.0,74.0,5.08,10.1,8.9,14.8,0,0,0,0,10,2012,0
8,16.7,23.1,12.4,69.0,0.0,10.6,7.8,14.8,0,0,0,0,11,2008,0
25,11.1,17.0,7.0,77.0,0.25,9.8,6.5,11.1,0,0,0,0,1,2016,0
23,13.4,19.0,9.4,78.0,3.56,11.1,8.5,18.3,0,0,0,0,12,2012,0
27,28.1,33.0,24.0,53.0,0.0,11.3,19.4,29.4,0,0,0,0,8,2012,0
14,28.5,34.9,23.9,58.0,0.0,10.0,9.3,22.2,0,0,0,0,8,2015,0
25,9.7,11.4,6.9,78.0,11.18,8.4,26.7,38.9,1,0,0,0,2,2015,1
26,30.7,38.7,21.4,39.0,0.0,10.0,7.8,18.3,0,0,0,0,8,2011,0
26,27.7,35.0,19.0,44.0,0.0,10.0,7.8,20.6,0,0,0,0,6,2016,0
17,11.3,17.4,6.7,85.0,0.0,5.6,4.4,11.1,0,0,0,1,1,2011,0
31,16.5,24.3,8.8,61.0,0.0,10.0,11.1,18.3,0,0,0,0,3,2017,1
2,14.1,19.0,10.8,62.0,0.0,9.8,20.7,40.7,1,0,0,0,3,2016,1
22,19.6,24.4,15.7,49.0,0.0,11.1,10.9,22.2,0,0,0,0,3,2010,0
22,12.0,18.4,7.0,75.0,0.0,9.8,5.4,11.1,0,0,0,0,12,2021,0
5,13.0,19.2,8.0,54.0,0.0,11.3,13.1,25.9,0,0,0,0,12,2008,0
25,13.9,17.5,10.8,78.0,10.41,8.7,26.3,40.7,1,0,1,0,3,2013,0
9,29.6,36.6,23.0,57.0,0.0,10.3,12.8,31.3,0,0,0,0,8,2009,0
31,13.4,17.0,11.0,67.0,0.0,10.0,15.4,29.4,0,0,0,0,12,2018,0
8,14.8,21.5,-1.6,70.0,0.25,9.3,6.5,13.0,0,0,0,0,12,2015,0
8,20.3,25.2,17.0,73.0,0.0,10.1,12.6,24.1,1,0,0,0,5,2011,0
3,12.4,16.4,9.0,85.0,5.08,9.8,7.8,16.5,1,0,0,0,1,2013,0
19,18.8,25.0,13.0,62.0,0.0,9.8,13.9,25.9,0,0,0,0,4,2016,0
24,11.4,14.3,9.0,66.0,0.51,9.3,19.1,27.8,0,0,0,0,1,2008,0
9,28.4,33.2,25.0,56.0,0.0,9.7,20.6,31.3,0,0,0,0,8,2008,0
29,15.2,19.1,11.5,71.0,0.0,10.0,24.1,37.0,0,0,0,0,3,2015,0
11,12.2,15.4,8.2,73.0,0.25,9.0,23.9,53.5,1,0,1,0,2,2009,1
1,27.2,32.3,22.5,40.0,0.0,10.1,20.2,33.5,0,0,0,0,7,2011,0
22,13.5,16.8,11.0,75.0,0.76,11.1,14.8,24.1,1,0,0,0,12,2011,0
8,17.3,25.3,11.2,64.0,0.25,9.7,6.1,16.5,0,0,0,0,4,2014,0
13,14.3,18.0,10.5,64.0,4.32,10.0,26.5,59.4,1,0,0,0,12,2019,0
28,18.2,21.5,15.0,85.0,0.25,9.3,5.6,13.0,1,0,0,0,10,2021,0
7,25.9,30.4,22.0,57.0,0.0,11.1,21.3,35.2,0,0,0,0,9,2011,0
2,14.6,22.0,10.0,75.0,0.0,8.4,7.2,14.8,0,0,0,0,3,2017,0
12,27.7,35.2,20.8,44.0,0.0,11.1,17.8,33.5,0,0,0,0,6,2012,0
21,26.0,31.1,21.9,59.0,0.0,10.8,12.8,22.2,0,0,0,0,7,2011,0
9,10.3,16.0,5.4,73.0,0.0,9.7,11.9,24.1,1,0,1,0,2,2018,1
18,25.4,32.4,20.0,61.0,0.0,10.0,11.7,18.3,0,0,0,0,10,2015,0
15,26.2,39.0,16.8,32.0,0.0,9.7,21.3,50.0,0,0,1,0,5,2015,1
30,21.6,27.0,16.6,69.0,0.0,10.0,11.3,24.1,0,0,0,0,9,2017,0
11,29.7,35.6,25.0,51.0,0.0,10.8,18.0,33.5,0,0,0,0,8,2012,0
15,24.4,30.0,19.0,63.0,0.0,10.0,12.8,20.6,0,0,0,0,6,2015,0
29,12.3,15.2,9.8,71.0,6.35,9.0,18.3,38.9,0,0,0,0,12,2017,0
30,10.8,15.5,7.0,69.0,0.0,9.8,15.2,29.4,1,0,0,0,12,2020,1
24,23.7,29.0,18.9,70.0,0.0,10.0,5.2,14.8,0,0,0,0,10,2013,0
28,15.9,22.6,11.7,71.0,0.0,9.7,9.8,16.5,0,0,0,0,3,2021,0
16,13.6,16.4,10.9,79.0,0.0,8.9,8.5,16.5,1,0,0,0,3,2009,0
24,24.8,29.4,21.0,61.0,0.0,10.0,14.4,27.8,0,0,0,0,9,2017,0
9,29.1,35.4,23.8,65.0,0.0,10.0,7.2,20.6,0,0,0,0,8,2015,1
1,15.6,21.0,11.0,62.0,0.0,10.0,9.1,18.3,0,0,0,0,5,2019,0
21,9.4,12.0,7.6,74.0,0.76,8.2,14.3,29.4,1,0,1,0,12,2017,0
10,26.0,34.6,19.0,38.0,0.0,11.3,19.3,31.3,0,0,0,0,5,2010,0
19,14.8,19.6,11.0,67.0,0.0,10.0,15.6,25.9,0,0,0,0,11,2017,0
3,29.1,35.0,25.0,61.0,0.0,10.0,17.6,33.5,0,0,0,0,8,2015,0
7,14.4,17.4,10.9,72.0,0.0,10.0,13.7,25.9,0,0,0,0,12,2013,0
19,25.7,32.8,19.4,59.0,0.0,10.0,13.3,25.9,0,0,0,0,6,2013,0
19,16.4,21.0,12.8,82.0,0.0,10.0,9.6,20.6,0,0,0,0,11,2021,0
31,13.9,22.0,10.3,72.0,5.08,8.2,20.6,37.0,1,0,0,0,1,2015,1
30,18.8,22.1,16.0,68.0,0.0,9.3,14.8,25.9,0,0,0,0,10,2015,1
4,24.7,32.0,18.0,63.0,0.0,9.8,6.5,22.2,0,0,0,0,9,2014,0
18,11.7,18.0,4.6,61.0,0.0,10.0,10.7,24.1,0,0,0,0,2,2019,0
27,31.2,38.4,24.5,45.0,0.0,10.0,7.4,22.2,0,0,0,0,6,2017,0
14,21.2,26.1,15.7,63.0,17.53,9.7,20.7,40.7,1,0,1,0,9,2012,0
11,11.2,16.2,7.0,77.0,0.0,9.3,4.1,18.3,0,0,0,0,3,2014,0
15,10.2,15.0,6.5,70.0,0.51,11.1,12.8,27.8,1,0,1,0,1,2013,1
7,12.4,15.2,9.6,57.0,1.52,10.1,20.9,37.0,0,0,0,0,1,2012,0
26,14.9,20.0,9.7,63.0,0.0,11.3,13.9,25.9,0,0,0,0,12,2012,0
5,28.4,34.7,23.4,48.0,0.0,11.3,10.4,24.1,0,0,0,0,7,2010,0
31,16.3,23.0,11.3,57.0,0.25,10.0,7.6,16.5,0,0,0,0,3,2012,0
9,28.0,32.3,24.5,67.0,0.0,10.0,13.7,29.4,0,0,1,0,9,2021,1
9,17.0,22.6,12.0,72.0,0.0,10.3,8.7,20.6,0,0,0,0,11,2011,1
2,14.1,19.0,10.1,77.0,1.02,9.5,8.1,18.3,1,0,0,0,4,2020,1
26,14.1,21.4,6.0,68.0,0.0,10.0,7.4,14.8,0,0,0,0,3,2021,0
10,26.9,33.4,20.5,66.0,0.0,10.8,10.2,24.1,0,0,0,0,9,2011,0
4,14.4,19.6,9.3,73.0,0.0,11.1,15.7,31.3,0,0,0,0,3,2013,0
26,23.3,31.7,16.4,62.0,0.0,9.8,7.8,18.3,0,0,1,0,9,2017,0
10,25.4,32.5,20.0,67.0,23.11,9.7,8.3,40.7,1,0,1,0,9,2020,0
30,16.6,22.0,12.0,40.0,0.0,10.0,13.3,25.9,0,0,0,0,10,2018,0
30,20.1,26.0,16.0,62.0,0.25,10.1,15.7,25.9,0,0,0,0,4,2012,0
26,29.5,35.9,21.7,40.0,0.0,10.0,8.9,22.2,0,0,0,0,8,2017,0
16,23.8,28.7,19.9,63.0,0.51,11.1,9.3,18.3,0,0,0,0,6,2010,0
22,31.3,38.0,26.0,58.0,0.0,11.3,15.4,25.9,0,0,0,0,7,2010,0
1,13.1,17.4,11.0,77.0,1.52,10.5,12.0,22.2,0,0,0,0,1,2011,1
30,20.2,27.7,14.0,62.0,0.0,10.0,12.8,29.4,1,0,0,0,4,2016,1
4,11.3,15.2,8.9,70.0,5.59,11.1,15.2,31.3,0,0,0,0,2,2011,0
14,20.4,24.1,18.0,84.0,12.45,9.3,6.5,13.0,1,0,1,0,10,2012,1
29,20.8,28.0,15.9,57.0,0.0,10.9,13.7,27.8,1,0,0,0,5,2013,1
31,19.1,25.2,11.8,59.0,0.0,9.5,13.1,31.7,0,0,0,0,10,2018,0
25,14.3,18.0,11.0,76.0,0.0,10.0,13.7,22.2,1,0,0,0,12,2018,0
1,10.1,16.3,4.4,52.0,0.0,10.0,10.2,18.3,0,0,0,0,1,2021,0
19,16.9,21.2,13.0,75.0,0.0,10.6,9.4,24.1,1,0,0,0,11,2012,1
4,13.4,18.4,9.0,85.0,0.0,7.2,1.5,7.6,0,0,0,0,12,2015,0
12,26.6,33.0,22.7,58.0,0.0,10.5,10.6,22.2,0,0,0,0,7,2009,0
